t_id,t_content
hero_tooth_4_skill_name,hero_tooth_4_skill_name
hero_tooth_4_skill_desc,
boss_desc_icecream,boss_desc_icecream
boss_desc_icecream_2,boss_desc_icecream_2
boss_desc_icecream_3,boss_desc_icecream_3
boss_desc_cake,boss_desc_cake
boss_desc_cake_2,boss_desc_cake_2
boss_desc_candy,boss_desc_candy
boss_desc_candy_2,boss_desc_candy_2
boss_desc_jelly,boss_desc_jelly
boss_desc_jelly_2,boss_desc_jelly_2
boss_desc_donut,boss_desc_donut
sdk_demo_account_info_missing,sdk_demo_account_info_missing
sdk_demo_audio_is_playing,sdk_demo_audio_is_playing
sdk_demo_audio_path,sdk_demo_audio_path
sdk_demo_audio_play_pause,sdk_demo_audio_play_pause
sdk_demo_audio_play_resume,sdk_demo_audio_play_resume
sdk_demo_audio_play_start,sdk_demo_audio_play_start
sdk_demo_audio_play_stop,sdk_demo_audio_play_stop
sdk_demo_audio_progress,sdk_demo_audio_progress
sdk_demo_audio_release,sdk_demo_audio_release
sdk_demo_audio_state,sdk_demo_audio_state
sdk_demo_batch_file_written,sdk_demo_batch_file_written
sdk_demo_camera_index,sdk_demo_camera_index
sdk_demo_cancel,sdk_demo_cancel
sdk_demo_change_camera,sdk_demo_change_camera
sdk_demo_change_model,sdk_demo_change_model
sdk_demo_change_resolution,sdk_demo_change_resolution
sdk_demo_check_log,sdk_demo_check_log
sdk_demo_confirm,sdk_demo_confirm
sdk_demo_currency_info_empty,sdk_demo_currency_info_empty
sdk_demo_currency_info_header,sdk_demo_currency_info_header
sdk_demo_currency_info_line,sdk_demo_currency_info_line
sdk_demo_current_vip,sdk_demo_current_vip
sdk_demo_current_yuanqidou,sdk_demo_current_yuanqidou
sdk_demo_distance_check_close,sdk_demo_distance_check_close
sdk_demo_distance_check_open,sdk_demo_distance_check_open
sdk_demo_enter_sub_navigation,sdk_demo_enter_sub_navigation
sdk_demo_face_area_threshold,sdk_demo_face_area_threshold
sdk_demo_face_check_frame_interval,sdk_demo_face_check_frame_interval
sdk_demo_face_feature_not_enough,sdk_demo_face_feature_not_enough
sdk_demo_face_output_all,sdk_demo_face_output_all
sdk_demo_face_output_minimal,sdk_demo_face_output_minimal
sdk_demo_face_output_user,sdk_demo_face_output_user
sdk_demo_face_queue_empty,sdk_demo_face_queue_empty
sdk_demo_face_recognition_start,sdk_demo_face_recognition_start
sdk_demo_face_recognition_stop,sdk_demo_face_recognition_stop
sdk_demo_face_similarity_a,sdk_demo_face_similarity_a
sdk_demo_face_similarity_b,sdk_demo_face_similarity_b
sdk_demo_face_size,sdk_demo_face_size
sdk_demo_face_threshold,sdk_demo_face_threshold
sdk_demo_file_count,sdk_demo_file_count
sdk_demo_file_list_count,sdk_demo_file_list_count
sdk_demo_free,sdk_demo_free
sdk_demo_global_status_title,sdk_demo_global_status_title
sdk_demo_gyro_option,sdk_demo_gyro_option
sdk_demo_hand_code,sdk_demo_hand_code
sdk_demo_hand_left_pos,sdk_demo_hand_left_pos
sdk_demo_hand_left_press,sdk_demo_hand_left_press
sdk_demo_hand_right_pos,sdk_demo_hand_right_pos
sdk_demo_hand_right_press,sdk_demo_hand_right_press
sdk_demo_head_image_missing,sdk_demo_head_image_missing
sdk_demo_input_height,sdk_demo_input_height
sdk_demo_input_width,sdk_demo_input_width
sdk_demo_kpt_num,sdk_demo_kpt_num
sdk_demo_led_closed,sdk_demo_led_closed
sdk_demo_led_opened,sdk_demo_led_opened
sdk_demo_method_deprecated,sdk_demo_method_deprecated
sdk_demo_model_title,sdk_demo_model_title
sdk_demo_name,sdk_demo_name
sdk_demo_nfc_action,sdk_demo_nfc_action
sdk_demo_nfc_card_id,sdk_demo_nfc_card_id
sdk_demo_nfc_card_info_null,sdk_demo_nfc_card_info_null
sdk_demo_nfc_custom_data,sdk_demo_nfc_custom_data
sdk_demo_nfc_detail_title,sdk_demo_nfc_detail_title
sdk_demo_nfc_flags,sdk_demo_nfc_flags
sdk_demo_nfc_key_card_ignored,sdk_demo_nfc_key_card_ignored
sdk_demo_nfc_permissions,sdk_demo_nfc_permissions
sdk_demo_nfc_status,sdk_demo_nfc_status
sdk_demo_nfc_type,sdk_demo_nfc_type
sdk_demo_nfc_ver,sdk_demo_nfc_ver
sdk_demo_no_gyro,sdk_demo_no_gyro
sdk_demo_player_lost,sdk_demo_player_lost
sdk_demo_player_not_game,sdk_demo_player_not_game
sdk_demo_player_recovered,sdk_demo_player_recovered
sdk_demo_player_status_empty,sdk_demo_player_status_empty
sdk_demo_player_status_line,sdk_demo_player_status_line
sdk_demo_player_status_title,sdk_demo_player_status_title
sdk_demo_product_already_purchased_detail,sdk_demo_product_already_purchased_detail
sdk_demo_product_already_purchased_tip,sdk_demo_product_already_purchased_tip
sdk_demo_product_detail_id,sdk_demo_product_detail_id
sdk_demo_product_detail_intro,sdk_demo_product_detail_intro
sdk_demo_product_detail_name,sdk_demo_product_detail_name
sdk_demo_product_detail_original,sdk_demo_product_detail_original
sdk_demo_product_detail_price,sdk_demo_product_detail_price
sdk_demo_product_detail_sub_name,sdk_demo_product_detail_sub_name
sdk_demo_product_detail_title,sdk_demo_product_detail_title
sdk_demo_product_item_line,sdk_demo_product_item_line
sdk_demo_product_items_header,sdk_demo_product_items_header
sdk_demo_product_list_empty_hint,sdk_demo_product_list_empty_hint
sdk_demo_product_list_header,sdk_demo_product_list_header
sdk_demo_product_list_item,sdk_demo_product_list_item
sdk_demo_product_list_selected,sdk_demo_product_list_selected
sdk_demo_product_query_first_buy,sdk_demo_product_query_first_buy
sdk_demo_product_query_first_switch,sdk_demo_product_query_first_switch
sdk_demo_purchase_failed_detail,sdk_demo_purchase_failed_detail
sdk_demo_purchase_prepare,sdk_demo_purchase_prepare
sdk_demo_purchase_product_failed,sdk_demo_purchase_product_failed
sdk_demo_purchase_product_success,sdk_demo_purchase_product_success
sdk_demo_purchase_record_failed_detail,sdk_demo_purchase_record_failed_detail
sdk_demo_purchase_record_failed_tip,sdk_demo_purchase_record_failed_tip
sdk_demo_purchase_success_detail,sdk_demo_purchase_success_detail
sdk_demo_purchasing_detail,sdk_demo_purchasing_detail
sdk_demo_query_product_failed,sdk_demo_query_product_failed
sdk_demo_query_product_failed_detail,sdk_demo_query_product_failed_detail
sdk_demo_query_product_success,sdk_demo_query_product_success
sdk_demo_query_product_success_count,sdk_demo_query_product_success_count
sdk_demo_query_product_success_empty,sdk_demo_query_product_success_empty
sdk_demo_query_product_wait,sdk_demo_query_product_wait
sdk_demo_query_purchased_failed,sdk_demo_query_purchased_failed
sdk_demo_query_purchased_failed_detail,sdk_demo_query_purchased_failed_detail
sdk_demo_query_purchased_success,sdk_demo_query_purchased_success
sdk_demo_query_purchased_success_detail,sdk_demo_query_purchased_success_detail
sdk_demo_query_purchased_success_product_empty,sdk_demo_query_purchased_success_product_empty
sdk_demo_query_purchased_wait,sdk_demo_query_purchased_wait
sdk_demo_ready_all_done,sdk_demo_ready_all_done
sdk_demo_ready_cancel,sdk_demo_ready_cancel
sdk_demo_ready_done,sdk_demo_ready_done
sdk_demo_ready_empty,sdk_demo_ready_empty
sdk_demo_ready_no_pose,sdk_demo_ready_no_pose
sdk_demo_ready_out_area,sdk_demo_ready_out_area
sdk_demo_ready_progress,sdk_demo_ready_progress
sdk_demo_recording_is_recording,sdk_demo_recording_is_recording
sdk_demo_region_index,sdk_demo_region_index
sdk_demo_remote_speaker_enabled,sdk_demo_remote_speaker_enabled
sdk_demo_remote_vibration_enabled,sdk_demo_remote_vibration_enabled
sdk_demo_resolution_height,sdk_demo_resolution_height
sdk_demo_resolution_width,sdk_demo_resolution_width
sdk_demo_restart_game,sdk_demo_restart_game
sdk_demo_role_select_enter,sdk_demo_role_select_enter
sdk_demo_role_select_exit,sdk_demo_role_select_exit
sdk_demo_role_select_slot,sdk_demo_role_select_slot
sdk_demo_role_select_success,sdk_demo_role_select_success
sdk_demo_role_select_wait,sdk_demo_role_select_wait
sdk_demo_screenshot_is_capturing,sdk_demo_screenshot_is_capturing
sdk_demo_single_file_written,sdk_demo_single_file_written
sdk_demo_speaker_opened,sdk_demo_speaker_opened
sdk_demo_stats_account_changed,sdk_demo_stats_account_changed
sdk_demo_stats_service_bind_failed,sdk_demo_stats_service_bind_failed
sdk_demo_stats_service_disconnected,sdk_demo_stats_service_disconnected
sdk_demo_test_toast,sdk_demo_test_toast
sdk_demo_type,sdk_demo_type
sdk_demo_video_is_generating,sdk_demo_video_is_generating
sdk_demo_vip_info_empty,sdk_demo_vip_info_empty
sdk_demo_vip_info_header,sdk_demo_vip_info_header
sdk_demo_vip_info_line,sdk_demo_vip_info_line
sdk_demo_wifi_error_detail,sdk_demo_wifi_error_detail
sdk_demo_wifi_error_tip,sdk_demo_wifi_error_tip
sdk_demo_global_status_waiting_update,sdk_demo_global_status_waiting_update
td_result_continue_challenge,td_result_continue_challenge
td_result_retry_challenge,td_result_retry_challenge
td_prepare_wait_center,td_prepare_wait_center
td_prepare_face_recognizing,td_prepare_face_recognizing
td_prepare_wait_raise_hand,td_prepare_wait_raise_hand
td_prepare_error_sdk_data_missing,td_prepare_error_sdk_data_missing
td_prepare_error_all_ready,td_prepare_error_all_ready
td_chapter_locked,td_chapter_locked
td_error_battle_request_empty,td_error_battle_request_empty
td_error_prepare_request_empty,td_error_prepare_request_empty
td_error_prepare_no_guard_roles,td_error_prepare_no_guard_roles
td_error_stage_guard_map_missing,td_error_stage_guard_map_missing
td_error_stage_guard_map_empty,td_error_stage_guard_map_empty
td_error_stage_guard_map_invalid,td_error_stage_guard_map_invalid
td_error_prepare_invalid_seat,td_error_prepare_invalid_seat
td_error_prepare_seat_out_count,td_error_prepare_seat_out_count
td_error_prepare_sdk_seat_only,td_error_prepare_sdk_seat_only
td_error_prepare_sdk_binding_missing,td_error_prepare_sdk_binding_missing
td_error_select_min_one_seat,td_error_select_min_one_seat
td_error_battle_stage_missing,td_error_battle_stage_missing
td_error_battle_stage_locked,td_error_battle_stage_locked
td_error_battle_player_map_missing,td_error_battle_player_map_missing
td_error_stage_guard_slot_missing,td_error_stage_guard_slot_missing
td_error_selected_role_missing,td_error_selected_role_missing
td_error_battle_player_role_missing,td_error_battle_player_role_missing
td_prepare_face_enter_area,td_prepare_face_enter_area
td_prepare_face_wait_avatar_select,td_prepare_face_wait_avatar_select
td_prepare_face_select_avatar,td_prepare_face_select_avatar
